Country Name,Country Code,Year,GDP pc
"Congo, Dem. Rep.",COD,2009-01-01,587.552815360015
United Kingdom,GBR,2009-01-01,35024.7133840576
India,IND,2009-01-01,3892.53003085727
Nigeria,NGA,2009-01-01,4355.76908780903
United States,USA,2009-01-01,47194.9433547336
China,CHN,2010-01-01,9254.77960352629
"Congo, Dem. Rep.",COD,2010-01-01,616.532399110794
United Kingdom,GBR,2010-01-01,36492.0881209493
India,IND,2010-01-01,4215.58082753946
Nigeria,NGA,2010-01-01,4632.13131259775
United States,USA,2010-01-01,48650.6431283336
China,CHN,2011-01-01,10292.940478173
"Congo, Dem. Rep.",COD,2011-01-01,650.436603207665
United Kingdom,GBR,2011-01-01,37224.3787645256
India,IND,2011-01-01,4467.46665451679
Nigeria,NGA,2011-01-01,4843.60455539881
United States,USA,2011-01-01,50065.9665041742
China,CHN,2012-01-01,11168.6972979983
"Congo, Dem. Rep.",COD,2012-01-01,650.921589580947
United Kingdom,GBR,2012-01-01,38343.0869033484
India,IND,2012-01-01,4827.94597281719
Nigeria,NGA,2012-01-01,4899.52919646751
United States,USA,2012-01-01,51784.4185738837
China,CHN,2013-01-01,11872.4973811817
"Congo, Dem. Rep.",COD,2013-01-01,731.932821307684
United Kingdom,GBR,2013-01-01,39954.2191450769
India,IND,2013-01-01,5016.92874631249
Nigeria,NGA,2013-01-01,5136.64524267725
United States,USA,2013-01-01,53291.1276891406
China,CHN,2014-01-01,12480.3385303005
"Congo, Dem. Rep.",COD,2014-01-01,824.412437591915
United Kingdom,GBR,2014-01-01,41278.1275079919
India,IND,2014-01-01,5187.25575944641
Nigeria,NGA,2014-01-01,5415.86121025289
United States,USA,2014-01-01,55123.8497869046
China,CHN,2015-01-01,12897.502286878
"Congo, Dem. Rep.",COD,2015-01-01,877.680835200472
United Kingdom,GBR,2015-01-01,42496.8542909218
India,IND,2015-01-01,5412.33623878395
Nigeria,NGA,2015-01-01,5342.03599096303
United States,USA,2015-01-01,56762.7294515989
China,CHN,2016-01-01,13483.3772664595
"Congo, Dem. Rep.",COD,2016-01-01,932.405165247328
United Kingdom,GBR,2016-01-01,44082.1164678494
India,IND,2016-01-01,5778.2696139291
Nigeria,NGA,2016-01-01,5159.58044421876
United States,USA,2016-01-01,57866.7449341091
China,CHN,2017-01-01,14243.5326108491
"Congo, Dem. Rep.",COD,2017-01-01,1023.53983314556
United Kingdom,GBR,2017-01-01,46048.2000506645
India,IND,2017-01-01,6112.06664981487
Nigeria,NGA,2017-01-01,5120.00559788163
United States,USA,2017-01-01,59907.7542608847
China,CHN,2018-01-01,15497.8257403082
"Congo, Dem. Rep.",COD,2018-01-01,1073.44690557385
United Kingdom,GBR,2018-01-01,47090.4848967293
India,IND,2018-01-01,6590.8823009363
Nigeria,NGA,2018-01-01,5212.1388707046
United States,USA,2018-01-01,62823.3094381973
China,CHN,2019-01-01,16655.3993636127
"Congo, Dem. Rep.",COD,2019-01-01,1104.84336768272
United Kingdom,GBR,2019-01-01,49191.2100377292
India,IND,2019-01-01,6897.77003734099
Nigeria,NGA,2019-01-01,5291.66296998221
United States,USA,2019-01-01,65120.3946628653
China,CHN,2020-01-01,17209.4429541562
"Congo, Dem. Rep.",COD,2020-01-01,1102.55351748245
United Kingdom,GBR,2020-01-01,45756.6510715223
India,IND,2020-01-01,6517.76138713158
Nigeria,NGA,2020-01-01,5137.59840216061
United States,USA,2020-01-01,63528.6343027508
China,CHN,2021-01-01,19484.4861576535
"Congo, Dem. Rep.",COD,2021-01-01,1184.72048571213
United Kingdom,GBR,2021-01-01,50361.2737562531
India,IND,2021-01-01,7367.9946647152
Nigeria,NGA,2021-01-01,5431.9192114316
United States,USA,2021-01-01,70219.472454115
China,CHN,2022-01-01,21482.5621847397
"Congo, Dem. Rep.",COD,2022-01-01,1337.83414851626
United Kingdom,GBR,2022-01-01,54929.8346212468
India,IND,2022-01-01,8400.3828483398
Nigeria,NGA,2022-01-01,5862.23507005742
United States,USA,2022-01-01,76329.5822652032
